timestamp,avg_latency,jitter,rtt_min,rtt_max,packet_count,latency_change_5m,rolling_mean,rolling_std,threshold,is_degraded,target_5m_degraded
2026-02-09 07:21:00,26.766299890804596,3.1461920589353203,20.323891,33.093399,174,,26.766299890804596,,,0,0.0
2026-02-09 07:22:00,26.766299890804596,3.1461920589353203,20.323891,33.093399,0,,26.766299890804596,0.0,26.766299890804596,0,0.0
2026-02-09 07:23:00,26.766299890804596,3.1461920589353203,20.323891,33.093399,0,,26.766299890804596,0.0,26.766299890804596,0,0.0
2026-02-09 07:24:00,26.766299890804596,3.1461920589353203,20.323891,33.093399,0,,26.766299890804596,0.0,26.766299890804596,0,0.0
2026-02-09 07:25:00,28.649649419540232,4.170520525260019,20.661448,38.057071,174,,27.14296979655172,0.8422595143290146,29.248618582374256,0,0.0
2026-02-09 07:26:00,28.649649419540232,4.170520525260019,20.661448,38.057071,0,1.8833495287356357,27.39408306704981,0.9725575146507599,29.825476853676708,0,0.0
2026-02-09 07:27:00,28.649649419540232,4.170520525260019,20.661448,38.057071,0,1.8833495287356357,27.573449688834156,1.0066926680101296,30.090181358859482,0,0.0
2026-02-09 07:28:00,28.649649419540232,4.170520525260019,20.661448,38.057071,0,1.8833495287356357,27.707974655172414,1.0066926680101296,30.224706325197737,0,0.0
2026-02-09 07:29:00,28.66113621264368,3.8256218712798593,20.689529,34.96718,174,1.8948363218390831,27.813881494891444,0.9938298094445718,30.298456018502872,0,0.0
2026-02-09 07:30:00,28.66113621264368,3.8256218712798593,20.689529,34.96718,0,0.011486793103447468,27.898606966666666,0.9745447952878166,30.334968954886207,0,0.0
2026-02-09 07:31:00,28.66113621264368,3.8256218712798593,20.689529,34.96718,0,0.011486793103447468,27.967927807210035,0.9526924847453871,30.349659019073503,0,0.0
2026-02-09 07:32:00,28.66113621264368,3.8256218712798593,20.689529,34.96718,0,0.011486793103447468,28.025695174329503,0.9301379552527907,30.35104006246148,0,0.0
2026-02-09 07:33:00,29.743283436781606,4.590833308360638,20.361815,37.660946,174,1.0936340172413743,28.157817348364283,1.0099463978268732,30.682683342931465,0,0.0
2026-02-09 07:34:00,29.743283436781606,4.590833308360638,20.361815,37.660946,0,1.0821472241379269,28.271064926108377,1.0588111345065057,30.91809276237464,0,0.0
2026-02-09 07:35:00,29.743283436781606,4.590833308360638,20.361815,37.660946,0,1.0821472241379269,28.369212826819926,1.0888062082644212,31.09122834748098,0,0.0
2026-02-09 07:36:00,29.743283436781606,4.590833308360638,20.361815,37.660946,0,1.0821472241379269,28.45509223994253,1.1065577584491466,31.221486636065396,0,0.0
2026-02-09 07:37:00,30.359602005747128,4.465188881005091,20.639406,40.127343,174,1.6984657931034484,28.56712222616633,1.1667488573215667,31.483994369470246,0,0.0
2026-02-09 07:38:00,30.359602005747128,4.465188881005091,20.639406,40.127343,0,0.6163185689655215,28.666704436143036,1.2081909422378696,31.68718179173771,0,0.0
2026-02-09 07:39:00,30.359602005747128,4.465188881005091,20.639406,40.127343,0,0.6163185689655215,28.755804308227468,1.2367159968522239,31.84759430035803,0,0.0
2026-02-09 07:40:00,30.359602005747128,4.465188881005091,20.639406,40.127343,0,0.6163185689655215,28.83599419310345,1.2560161523748585,31.976034574040597,0,0.0
2026-02-09 07:41:00,28.652026017241383,2.5153315477990392,23.857308,34.950683,174,-1.0912574195402236,28.827233803776682,1.224871168376292,31.889411724717412,0,0.0
2026-02-09 07:42:00,28.652026017241383,2.5153315477990392,23.857308,34.950683,0,-1.707575988505745,28.819269813479625,1.1959353780467588,31.809108258596524,0,0.0
2026-02-09 07:43:00,28.652026017241383,2.5153315477990392,23.857308,34.950683,0,-1.707575988505745,28.81199834407796,1.1689592180648627,31.734396389240118,0,0.0
2026-02-09 07:44:00,28.652026017241383,2.5153315477990392,23.857308,34.950683,0,-1.707575988505745,28.805332830459772,1.143730912876694,31.664660112651507,0,0.0
2026-02-09 07:45:00,28.84886141954023,2.779401123982771,20.757401,33.609816,174,-1.5107405862068966,28.807073974022988,1.119683515052896,31.60628276165523,0,0.0
2026-02-09 07:46:00,28.84886141954023,2.779401123982771,20.757401,33.609816,0,0.19683540229884855,28.80868118346596,1.0970919232694194,31.551410991639507,0,0.0
2026-02-09 07:47:00,28.84886141954023,2.779401123982771,20.757401,33.609816,0,0.19683540229884855,28.8101693403576,1.0758149300995146,31.499706665606386,0,0.0
2026-02-09 07:48:00,28.84886141954023,2.779401123982771,20.757401,33.609816,0,0.19683540229884855,28.81155120032841,1.0557297891770425,31.450875673271014,0,1.0
2026-02-09 07:49:00,26.457322586206896,2.657394752771172,20.229578,31.471272,174,-2.194703431034487,28.730370903289735,1.1251117541122593,31.543150288570384,0,1.0
2026-02-09 07:50:00,26.457322586206896,2.657394752771172,20.229578,31.471272,0,-2.3915388333333354,28.65460262605364,1.180868537100424,31.606773968804703,0,0.0
2026-02-09 07:51:00,26.457322586206896,2.657394752771172,20.229578,31.471272,0,-2.3915388333333354,28.58372262476826,1.226259365128457,31.649371037589404,0,0.0
2026-02-09 07:52:00,26.457322586206896,2.657394752771172,20.229578,31.471272,0,-2.3915388333333354,28.51727262356322,1.2635285813919679,31.67609407704314,0,0.0
2026-02-09 07:53:00,32.84752950724637,38.28330901044452,20.199566,253.052428,138,3.9986680877061396,28.648492529129374,1.4542453749191278,32.28410596642719,1,0.0
2026-02-09 07:54:00,32.84752950724637,38.28330901044452,20.199566,253.052428,0,6.390206921039475,28.77199361672105,1.6029128168234417,32.77927565877965,1,0.0
